,lat,lon
0,52.041686000057005,4.351473366925628
1,52.040964099428386,4.351154808292016
2,52.04006848593302,4.351525353684444
3,52.03926222764176,4.351835515268194
4,52.038365458849675,4.352074880067819
5,52.037468433275514,4.352285090702561
6,52.03657153522936,4.352509864728562
7,52.03567502065537,4.352778344564726
8,52.03477837733868,4.353032242174897
9,52.03388173332561,4.353286129496268
10,52.03298598398777,4.353642001945859
11,52.03218125327118,4.354126921681856
12,52.031377798148014,4.3547575264509675
13,52.030575488588276,4.355519238486937
14,52.02986355349418,4.356337133977841
15,52.029152122421515,4.35721328158922
16,52.02844030262104,4.3580456933994
17,52.02763886191991,4.358909279743866
18,52.02692715696226,4.359756205223093
19,52.026215572799934,4.360617672351507
20,52.02550385525635,4.361464543706484
21,52.024792131473156,4.362311388115314
22,52.02408052816859,4.363172773492106
23,52.02327892225859,4.364021616128747
24,52.02256705311814,4.364853810309979
25,52.02185530435192,4.365700545205401
26,52.02114354934827,4.366547253160851
27,52.020341918447734,4.3673959795786494
28,52.0196301509417,4.368242631917244
29,52.018918377199554,4.369089257319619
30,52.01820659722172,4.369935855786985
31,52.01749493677746,4.370796993120369
32,52.016693274418934,4.371645574154124
33,52.01598147560261,4.372492089855539
34,52.015269796003004,4.373353143712805
35,52.01455798461391,4.3741996053270755
36,52.013846166991755,4.375046040013724
37,52.0130444731869,4.375894475698179
38,52.01233276809855,4.376755418937696
39,52.01162093164592,4.377601770881337
40,52.01090896414541,4.378433532215055
41,52.01019724004717,4.3792943940018505
42,52.00939551480765,4.380142684371744
43,52.008683777902455,4.38100348986682
44,52.00797191016386,4.381849705242516
45,52.007260036196136,4.382695893701724
46,52.006548031817054,4.383527492956878
47,52.00574590301815,4.384331952210795
48,52.004942900624606,4.385034450200518
49,52.00413865470554,4.385591307811532
50,52.00324354478613,4.386033662348231
51,52.002437931915274,4.386430310135934
52,52.00154232345554,4.386814388228369
53,52.00064671358506,4.387198450861117
54,51.999840849015186,4.387565934200261
55,51.998945112761504,4.3879354071931465
56,51.99804937519238,4.388304865308406
57,51.99724350675522,4.388672307176648
58,51.99634776657586,4.389041736332299
59,51.995452148527185,4.389425709319382
60,51.99464627617821,4.389793109464379
61,51.99375040867545,4.390147936345626
62,51.99285478656441,4.390531864667697
63,51.9919590397863,4.390901219962755
64,51.99115316227931,4.391268564575358
65,51.990257412893605,4.3916378909241045
66,51.98936166219441,4.392007202405056
67,51.98855590389871,4.392389062051461
68,51.98766015054662,4.392758344302351
69,51.986764518860255,4.393142167587627
70,51.985868762836155,4.3935114198204355
71,51.98506287622197,4.393878666961151
72,51.98416711759291,4.394247890260958
73,51.98327148044323,4.394631653470861
74,51.982465589924715,4.3949988589260025
75,51.98156982733331,4.395368038148246
76,51.98067406343038,4.39573720251254
77,51.97986816905521,4.396104366550316
78,51.97897240254957,4.396473501992958
79,51.97807663473299,4.396842622580585
80,51.977180865605675,4.3972117283142
81,51.97637508850407,4.397593389424732
82,51.975479316729164,4.397962465955039
83,51.9745835436441,4.398331527634278
84,51.97377776250286,4.39871314624758
85,51.972881986771355,4.399082178729229
86,51.971986209730275,4.3994511963627545
87,51.97118091308584,4.399890975956984
88,51.970286842209795,4.400463671349994
89,51.96948312738983,4.401092570107881
90,51.96867940905811,4.401721446262248
91,51.96787568721496,4.4023502998143815
92,51.96707196186069,4.40297913076557
93,51.96626823299561,4.403607939117101
94,51.965464500620044,4.404236724870261
95,51.96466088624285,4.404880036797616
96,51.9638571467688,4.4055087770995645
97,51.96305340378522,4.406137494807014
98,51.96224977856388,4.406780737917645
99,51.96144590729065,4.407394862443561
100,51.9606421537803,4.408023512375233
101,51.959748525390715,4.408654098907174
102,51.95894476484022,4.4092827023570464
103,51.95814112166121,4.409925829896059
104,51.957337354017334,4.410554387915606
105,51.956533582866435,4.41118292335106
106,51.955729928851,4.411825982104836
107,51.95492615060862,4.412454472117724
108,51.954122368860176,4.413082939550388
109,51.95331858360597,4.413711384404114
110,51.952514915173154,4.4143543515484795
111,51.95171172404534,4.415055474041728
112,51.950999121097404,4.415841893204489
113,51.95019712124786,4.416688406543316
114,51.949484986832616,4.417532948760469
115,51.94877284621362,4.4183774641513125
116,51.94806057967011,4.419207409274695
117,51.947258554974944,4.420053806905666
118,51.94654627631258,4.420883697364618
119,51.94583411106588,4.421728104187626
120,51.94512182031315,4.422557941688283
121,51.94431965168413,4.42338968164521
122,51.94360746801699,4.424234006737026
123,51.94289527814957,4.425078305012398
124,51.94218296319455,4.4259080349104565
125,51.94147076103284,4.426752279784245
126,51.940668680653346,4.427598418037875
127,51.93995634749292,4.428428066708308
128,51.939244126813655,4.429272229645925
129,51.938531899936706,4.430116365774432
130,51.937729676474696,4.43094784825484
131,51.93701755543781,4.431806469177749
132,51.93630495578526,4.432606904111258
133,51.93559305825353,4.433494550333482
134,51.93488150737675,4.434425786069575
135,51.93416971354991,4.435327914274633
136,51.933457677446285,4.436200936313751
137,51.932745517220425,4.437059392098117
138,51.932033233192975,4.437903282311643
139,51.9313215294106,4.438819836178486
140,51.93070109664717,4.439908920338846
141,51.93026168557176,4.441154104127314
142,51.92991295151908,4.442499137160894
